Submission ID,Track,Keywords,Contributions,Languages
1162,Summarization,evaluation,model analysis & interpretability|data resources|data analysis,
1166,Machine Learning for NLP,knowledge-augmented methods,nlp engineering experiment|model analysis & interpretability|data analysis|theory,
1168,"Semantics: Sentence-level Semantics, Textual Inference, and Other Areas",phrase/sentence embedding,model analysis & interpretability|theory,
1170,Resources and Evaluation,corpus creation|benchmarking|automatic creation and evaluation of language resources|datasets for low resource languages,nlp engineering experiment|publicly available software and pre-trained models|data resources,ancient greek|latin
1173,Machine Learning for NLP,parameter-efficient finetuning,"nlp engineering experiment|approaches for low-compute settings, efficiency|approaches for low-resource settings",
1174,Information Extraction,knowledge base construction,nlp engineering experiment|publicly available software and pre-trained models,
1178,Information Extraction,document-level extraction,nlp engineering experiment,
1180,NLP Applications,"educational applications, gec, essay scoring",nlp engineering experiment|publicly available software and pre-trained models,german
1183,Dialogue and Interactive Systems,conversational modeling,nlp engineering experiment,
1185,Machine Translation,automatic evaluation,nlp engineering experiment,
1190,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",argument mining,nlp engineering experiment,
1191,Summarization,conversational summarization,nlp engineering experiment|model analysis & interpretability,
1194,NLP Applications,knowledge graphs,publicly available software and pre-trained models,
1195,Interpretability and Analysis of Models for NLP,adversarial attacks/examples/training,"model analysis & interpretability|approaches for low-compute settings, efficiency|theory",
1200,Machine Translation,few-shot/zero-shot mt|multilingual mt|multimodality,approaches for low-resource settings,chinese
1205,Resources and Evaluation,benchmarking|language resources|multilingual corpora|nlp datasets,nlp engineering experiment,bulgarian
1206,Dialogue and Interactive Systems,task-oriented|factuality|applications,nlp engineering experiment|model analysis & interpretability|theory,
1207,Large Language Models,prompting|interpretability/analysis,model analysis & interpretability,
1212,Dialogue and Interactive Systems,knowledge augmented|grounded dialog,nlp engineering experiment|data resources,chinese
1213,Dialogue and Interactive Systems,task-oriented|applications,nlp engineering experiment|model analysis & interpretability|theory,
1217,NLP Applications,mathematical nlp,model analysis & interpretability|publicly available software and pre-trained models|data resources,
1222,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",applications,model analysis & interpretability,
1223,Dialogue and Interactive Systems,task-oriented|factuality|applications,nlp engineering experiment|model analysis & interpretability|data resources|position papers,
1226,Dialogue and Interactive Systems,knowledge augmented|applications|conversational modeling,nlp engineering experiment,
1227,NLP Applications,"educational applications, gec, essay scoring",nlp engineering experiment,
1228,Generation,text-to-text generation,nlp engineering experiment,
1236,Theme Track: Reality Check,(non-)generalizability|evaluation|methodology,model analysis & interpretability|approaches for low-resource settings,
1239,Interpretability and Analysis of Models for NLP,adversarial attacks/examples/training|robustness,nlp engineering experiment|model analysis & interpretability|theory,
1242,Resources and Evaluation,nlp datasets,model analysis & interpretability|data resources,
1243,Large Language Models,robustness,nlp engineering experiment|publicly available software and pre-trained models,
1245,Interpretability and Analysis of Models for NLP,data influence|feature attribution,model analysis & interpretability|theory,
1254,"Language Grounding to Vision, Robotics, and Beyond",cross-modal matchine translation,nlp engineering experiment|data resources,french|german|czech
1255,NLP Applications,knowledge graphs,nlp engineering experiment,chinese
1258,Machine Learning for NLP,representation learning|model compression methods,"approaches for low-compute settings, efficiency|publicly available software and pre-trained models|data analysis",
1265,NLP Applications,"healthcare applications, clincial nlp",model analysis & interpretability,
1266,Machine Learning for NLP,generative models,approaches for low-resource settings,
1268,Large Language Models,prompting,reproduction study,
1269,Summarization,multi-document summarization|long-form summarization|few-shot summarisation|evaluation,nlp engineering experiment|model analysis & interpretability,
1270,Speech and Multimodality,speech and vision|speech technologies|multimodality,"nlp engineering experiment|model analysis & interpretability|approaches for low-compute settings, efficiency|approaches for low-resource settings|publicly available software and pre-trained models",
1272,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",argument quality assessment,nlp engineering experiment|reproduction study|position papers|surveys,
1275,Speech and Multimodality,automatic speech recognition,"nlp engineering experiment|model analysis & interpretability|approaches for low-compute settings, efficiency|approaches for low-resource settings|publicly available software and pre-trained models|theory",
1276,Information Extraction,named entity recognition and relation extraction,nlp engineering experiment|approaches for low-resource settings,
1277,Machine Learning for NLP,self-supervised learning,nlp engineering experiment|publicly available software and pre-trained models,
1278,Large Language Models,scaling,model analysis & interpretability,
1284,Interpretability and Analysis of Models for NLP,feature attribution,model analysis & interpretability,
1286,Discourse and Pragmatics,bridging resolution|dialogue,model analysis & interpretability|data resources,
1291,Theme Track: Reality Check,evaluation,position papers|surveys,
1292,NLP Applications,code generation and understanding,nlp engineering experiment,
1297,Machine Learning for NLP,transfer learning / domain adaptation,nlp engineering experiment,
1299,Information Retrieval and Text Mining,passage retrieval|dense retrieval|contrastive learning,nlp engineering experiment|model analysis & interpretability|publicly available software and pre-trained models,
1302,Large Language Models,interpretability/analysis,nlp engineering experiment,
1303,Multilingualism and Cross-Lingual NLP,code-switching|mixed language|multilingualism|cross-lingual transfer|multilingual pre-training|multilingual benchmarks|multilingual evaluation,nlp engineering experiment|approaches for low-resource settings|publicly available software and pre-trained models|data resources|data analysis,chinese|french|hindi
1306,Dialogue and Interactive Systems,,model analysis & interpretability,
1309,Information Extraction,named entity recognition and relation extraction,nlp engineering experiment,
1312,Generation,model architectures,"nlp engineering experiment|model analysis & interpretability|approaches for low-compute settings, efficiency",
1313,Interpretability and Analysis of Models for NLP,free-text/natural language explanations,approaches for low-resource settings,
1315,Multilingualism and Cross-Lingual NLP,code-switching|multilingual pre-training,nlp engineering experiment|approaches for low-resource settings,
1316,Machine Learning for NLP,self-supervised learning,"nlp engineering experiment|model analysis & interpretability|approaches for low-compute settings, efficiency|publicly available software and pre-trained models",
1322,Interpretability and Analysis of Models for NLP,robustness,model analysis & interpretability,
1323,Dialogue and Interactive Systems,multi-modal dialogue systems|conversational modeling,nlp engineering experiment|publicly available software and pre-trained models|data resources,
1325,Question Answering,generalization|few-shot qa|table qa,nlp engineering experiment,
1328,Theme Track: Reality Check,(non-)generalizability,"nlp engineering experiment|model analysis & interpretability|approaches for low-compute settings, efficiency|approaches for low-resource settings",
1329,Large Language Models,interpretability/analysis,"nlp engineering experiment|model analysis & interpretability|approaches for low-compute settings, efficiency|theory",
1333,Ethics and NLP,model bias/unfairness mitigation,nlp engineering experiment,
1340,Dialogue and Interactive Systems,bias/toxicity,nlp engineering experiment|data resources,chinese
1342,Generation,text-to-text generation,nlp engineering experiment,
1345,"Language Grounding to Vision, Robotics, and Beyond",cross-modal content generation,nlp engineering experiment|model analysis & interpretability|data resources,
1348,Machine Translation,vocabulary learning,theory,
1349,Machine Translation,vocabulary learning,theory,
1355,Generation,few-shot generation|interactive and collaborative generation,nlp engineering experiment,
1362,Question Answering,open-domain qa,nlp engineering experiment,
1365,Linguistic Diversity,less-resourced languages,approaches for low-resource settings|publicly available software and pre-trained models|data resources,tigrinya|east african|afro-asiatic|semitic
1368,Multilingualism and Cross-Lingual NLP,cross-lingual transfer,"approaches for low-compute settings, efficiency|approaches for low-resource settings",
1370,Machine Learning for NLP,self-supervised learning|representation learning|few-shot learning,"nlp engineering experiment|approaches for low-compute settings, efficiency",
1372,NLP Applications,financial/business nlp,nlp engineering experiment|model analysis & interpretability|data resources|data analysis,
1378,Resources and Evaluation,corpus creation,data resources,korean
1379,Semantics: Lexical,lexical resources,nlp engineering experiment,
1381,Resources and Evaluation,automatic evaluation of datasets|evaluation methodologies|evaluation,nlp engineering experiment|model analysis & interpretability|reproduction study,
1383,Theme Track: Reality Check,evaluation|methodology|negative results|ai hype & expectations,nlp engineering experiment|model analysis & interpretability|reproduction study|position papers|surveys,
1386,Machine Learning for NLP,generalization|parameter-efficient finetuning|few-shot learning,"nlp engineering experiment|approaches for low-compute settings, efficiency|approaches for low-resource settings",
1388,NLP Applications,financial/business nlp,nlp engineering experiment|model analysis & interpretability|data resources,
1391,Theme Track: Reality Check,methodology,position papers,
1398,Question Answering,commonsense qa|multihop qa,nlp engineering experiment,
1400,Generation,data-to-text generation,nlp engineering experiment,
1402,Large Language Models,applications,nlp engineering experiment|data resources,
1403,Discourse and Pragmatics,coherence,nlp engineering experiment,
1408,Dialogue and Interactive Systems,knowledge augmented|applications|conversational modeling,nlp engineering experiment,
1411,NLP Applications,"healthcare applications, clincial nlp","approaches for low-compute settings, efficiency",
1414,Large Language Models,security and privacy,nlp engineering experiment,
1415,Interpretability and Analysis of Models for NLP,feature attribution,model analysis & interpretability,
1421,Large Language Models,applications,nlp engineering experiment|approaches for low-resource settings|publicly available software and pre-trained models,
1424,"Semantics: Sentence-level Semantics, Textual Inference, and Other Areas",reasoning,nlp engineering experiment|model analysis & interpretability|publicly available software and pre-trained models|data resources|data analysis,
1430,Large Language Models,prompting|interpretability/analysis,nlp engineering experiment|model analysis & interpretability,
1433,Machine Translation,automatic evaluation,nlp engineering experiment,
1436,Semantics: Lexical,polysemy,model analysis & interpretability,
1438,Generation,text-to-text generation,model analysis & interpretability,
1440,Summarization,conversational summarization,model analysis & interpretability,
1445,Machine Translation,domain adaptation,nlp engineering experiment,
1448,Large Language Models,prompting,nlp engineering experiment|approaches for low-resource settings,
1449,Machine Translation,mt theory,nlp engineering experiment|approaches for low-resource settings|theory,
1452,Machine Learning for NLP,continual learning,nlp engineering experiment|model analysis & interpretability,
1453,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",style analysis,nlp engineering experiment,
1455,Question Answering,knowledge base qa|semantic parsing,nlp engineering experiment|approaches for low-resource settings,
1459,Machine Learning for NLP,knowledge-augmented methods,"nlp engineering experiment|approaches for low-compute settings, efficiency|theory",
1460,Generation,analysis,model analysis & interpretability,
1461,Machine Learning for NLP,knowledge-augmented methods,nlp engineering experiment|model analysis & interpretability,
1463,Machine Translation,switch-code translation,nlp engineering experiment,
1464,Speech and Multimodality,multimodality,approaches for low-resource settings,
1465,Speech and Multimodality,multimodality,nlp engineering experiment|data resources,
1466,Dialogue and Interactive Systems,knowledge augmented|conversational modeling,nlp engineering experiment|publicly available software and pre-trained models,
1471,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",style generation|applications,data resources|reproduction study,
1475,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",argument mining|applications,nlp engineering experiment|data resources,
1476,Information Extraction,document-level extraction,nlp engineering experiment|approaches for low-resource settings,
1477,Question Answering,multimodal qa,nlp engineering experiment,
1479,NLP Applications,mathematical nlp,publicly available software and pre-trained models,
1481,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",applications,nlp engineering experiment|model analysis & interpretability,
1482,Generation,data-to-text generation,nlp engineering experiment|approaches for low-resource settings|reproduction study,
1486,Information Extraction,document-level extraction,nlp engineering experiment|approaches for low-resource settings,
1489,Summarization,abstractive summarisation,"approaches for low-compute settings, efficiency|data resources",vietnamese
1491,Machine Translation,modelling,model analysis & interpretability|approaches for low-resource settings,
1495,Generation,efficient models,"approaches for low-compute settings, efficiency",
1498,"Syntax: Tagging, Chunking, and Parsing",dependency parsing,nlp engineering experiment|approaches for low-resource settings|data resources,chinese
1500,NLP Applications,"educational applications, gec, essay scoring",nlp engineering experiment,
1504,Dialogue and Interactive Systems,human-in-the-loop|grounded dialog|conversational modeling,nlp engineering experiment,
1509,Interpretability and Analysis of Models for NLP,adversarial attacks/examples/training,nlp engineering experiment|model analysis & interpretability,
1510,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",argument mining,nlp engineering experiment|publicly available software and pre-trained models|data analysis,
1513,Dialogue and Interactive Systems,task-oriented,nlp engineering experiment,
1516,Summarization,abstractive summarisation|conversational summarization|factuality,nlp engineering experiment|data resources|data analysis,
1518,"Semantics: Sentence-level Semantics, Textual Inference, and Other Areas",paraphrase generation,nlp engineering experiment|data resources,
1520,Information Retrieval and Text Mining,,nlp engineering experiment,
1521,Summarization,abstractive summarisation|query-focused summarization|multi-document summarization|long-form summarization,nlp engineering experiment|data resources,
1524,Machine Translation,domain adaptation|few-shot/zero-shot mt,nlp engineering experiment|approaches for low-resource settings,
1530,Resources and Evaluation,benchmarking|nlp datasets|metrics,nlp engineering experiment|publicly available software and pre-trained models|data resources,
1531,Question Answering,multimodal qa|biomedical qa|few-shot qa,nlp engineering experiment|approaches for low-resource settings|publicly available software and pre-trained models,
1538,Generation,few-shot generation|text-to-text generation,nlp engineering experiment,
1541,Information Extraction,open information extraction,model analysis & interpretability,
1542,Multilingualism and Cross-Lingual NLP,cross-lingual transfer,nlp engineering experiment|approaches for low-resource settings,
1545,Machine Learning for NLP,causality,"nlp engineering experiment|model analysis & interpretability|approaches for low-compute settings, efficiency|theory",
1547,Dialogue and Interactive Systems,conversational modeling,"approaches for low-compute settings, efficiency|theory",
1549,Machine Translation,automatic evaluation|multilingual mt,nlp engineering experiment|approaches for low-resource settings,
1550,Information Extraction,zero/few-shot extraction,nlp engineering experiment|approaches for low-resource settings,
1551,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",applications,data resources,
1552,Multilingualism and Cross-Lingual NLP,cross-lingual transfer,"nlp engineering experiment|approaches for low-compute settings, efficiency",
1555,Computational Social Science and Cultural Analytics,psycho-demographic trait prediction,nlp engineering experiment|model analysis & interpretability|publicly available software and pre-trained models,
1563,Computational Social Science and Cultural Analytics,misinformation detection and analysis,nlp engineering experiment,chinese
1569,Resources and Evaluation,language resources,data resources,simplified chinese
1572,Machine Translation,domain adaptation,publicly available software and pre-trained models|data analysis,
1575,"Language Grounding to Vision, Robotics, and Beyond",cross-modal content generation,nlp engineering experiment,
1576,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",applications,nlp engineering experiment|model analysis & interpretability|publicly available software and pre-trained models|data analysis,
1580,Information Retrieval and Text Mining,passage retrieval,nlp engineering experiment,
1582,Summarization,multilingual summarisation|factuality,nlp engineering experiment|approaches for low-resource settings,
1583,Large Language Models,fine-tuning,position papers,
1588,Generation,text-to-text generation,"nlp engineering experiment|approaches for low-compute settings, efficiency|publicly available software and pre-trained models",
1590,Multilingualism and Cross-Lingual NLP,code-switching|mixed language,position papers|surveys,
1591,NLP Applications,"educational applications, gec, essay scoring",nlp engineering experiment,
1593,"Language Grounding to Vision, Robotics, and Beyond",cross-modal content generation|cross-modal application,nlp engineering experiment|publicly available software and pre-trained models,chinese
1594,Machine Translation,parallel decoding/non-autoregressive mt,nlp engineering experiment|model analysis & interpretability,
1595,Information Extraction,open information extraction,nlp engineering experiment|model analysis & interpretability,
1602,Multilingualism and Cross-Lingual NLP,cross-lingual transfer|mutlilingual representations|multilingual pre-training|multilingual benchmarks|multilingual evaluation,nlp engineering experiment|approaches for low-resource settings|publicly available software and pre-trained models|data resources,
1605,Dialogue and Interactive Systems,multi-modal dialogue systems,publicly available software and pre-trained models,
1610,Discourse and Pragmatics,discourse relations,nlp engineering experiment,
1620,Machine Learning for NLP,transfer learning / domain adaptation,nlp engineering experiment|approaches for low-resource settings|publicly available software and pre-trained models,
1621,"Phonology, Morphology, and Word Segmentation",morphological segmentation|subword representations|morphological analysis,model analysis & interpretability|approaches for low-resource settings|publicly available software and pre-trained models,xhosa|zulu|finnish|swati|tswana|afrikaans
1623,NLP Applications,knowledge graphs,nlp engineering experiment,
1624,Resources and Evaluation,nlp datasets,nlp engineering experiment|data resources,
1626,Resources and Evaluation,corpus creation|benchmarking|nlp datasets,nlp engineering experiment|model analysis & interpretability|data resources|data analysis,
1627,Large Language Models,prompting,nlp engineering experiment|model analysis & interpretability,
1630,Information Extraction,event extraction|document-level extraction,model analysis & interpretability,
1634,Question Answering,question generation,nlp engineering experiment|approaches for low-resource settings,
1636,Interpretability and Analysis of Models for NLP,free-text/natural language explanations,model analysis & interpretability,
1637,Computational Social Science and Cultural Analytics,psycho-demographic trait prediction,nlp engineering experiment|data resources,
1638,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",stance detection,nlp engineering experiment|model analysis & interpretability|publicly available software and pre-trained models,
1639,"Language Grounding to Vision, Robotics, and Beyond",cross-modal application,model analysis & interpretability,
1645,Machine Learning for NLP,structured prediction|graphical models,nlp engineering experiment,
1653,Computational Social Science and Cultural Analytics,stance detection,nlp engineering experiment|approaches for low-resource settings,
1654,Question Answering,reading comprehension,model analysis & interpretability|data analysis,
1658,Information Extraction,named entity recognition and relation extraction,nlp engineering experiment,
1662,Semantics: Lexical,lexical relationships|compositionality|interpretability,nlp engineering experiment|model analysis & interpretability|position papers,
1667,Dialogue and Interactive Systems,spoken dialogue systems|task-oriented|multi-modal dialogue systems,nlp engineering experiment|publicly available software and pre-trained models,
1670,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",applications,nlp engineering experiment,
1673,Interpretability and Analysis of Models for NLP,feature attribution,model analysis & interpretability|data resources|reproduction study,
1674,Ethics and NLP,model bias/unfairness mitigation,nlp engineering experiment,
1676,Machine Translation,multilingual mt,"approaches for low-compute settings, efficiency",
1678,NLP Applications,"educational applications, gec, essay scoring",nlp engineering experiment|approaches for low-resource settings|publicly available software and pre-trained models,
1679,Machine Learning for NLP,few-shot learning,nlp engineering experiment,
1680,Machine Translation,multilingual mt,nlp engineering experiment,
1683,"Semantics: Sentence-level Semantics, Textual Inference, and Other Areas",phrase/sentence embedding,"nlp engineering experiment|approaches for low-compute settings, efficiency",
1684,Dialogue and Interactive Systems,task-oriented|dialogue state tracking,nlp engineering experiment|model analysis & interpretability|approaches for low-resource settings,
1689,Resources and Evaluation,evaluation methodologies,data analysis,
1691,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",argument mining,"approaches for low-compute settings, efficiency|data resources|data analysis|reproduction study",
1694,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",applications,nlp engineering experiment|approaches for low-resource settings,
1695,"Semantics: Sentence-level Semantics, Textual Inference, and Other Areas",reasoning,nlp engineering experiment|publicly available software and pre-trained models,
1696,Resources and Evaluation,multilingual corpora,data resources,
1697,NLP Applications,"educational applications, gec, essay scoring",nlp engineering experiment,chinese
1706,Machine Translation,efficient inference for mt|multilingual mt,"model analysis & interpretability|approaches for low-compute settings, efficiency",
1707,Interpretability and Analysis of Models for NLP,knowledge tracing/discovering/inducing,model analysis & interpretability|approaches for low-resource settings|data resources,
1708,"Linguistic Theories, Cognitive Modeling, and Psycholinguistics",cognitive modeling,data resources|data analysis,
1714,Large Language Models,pre-training,publicly available software and pre-trained models,
1715,Interpretability and Analysis of Models for NLP,probing,model analysis & interpretability,
1716,Interpretability and Analysis of Models for NLP,knowledge tracing/discovering/inducing,model analysis & interpretability,
1719,Multilingualism and Cross-Lingual NLP,cross-lingual transfer,model analysis & interpretability,
1721,Information Retrieval and Text Mining,document representation,nlp engineering experiment,
1728,Summarization,extractive summarisation|abstractive summarisation|multi-document summarization|architectures|factuality,nlp engineering experiment,
1732,NLP Applications,knowledge graphs,nlp engineering experiment,
1737,Multilingualism and Cross-Lingual NLP,multilingual evaluation|dialects and language varieties,approaches for low-resource settings|data analysis,
1744,Dialogue and Interactive Systems,applications,nlp engineering experiment,
1752,NLP Applications,"educational applications, gec, essay scoring","nlp engineering experiment|approaches for low-compute settings, efficiency|approaches for low-resource settings",
1766,Interpretability and Analysis of Models for NLP,robustness,nlp engineering experiment|model analysis & interpretability|theory,
1768,Multilingualism and Cross-Lingual NLP,cross-lingual transfer,nlp engineering experiment|model analysis & interpretability|approaches for low-resource settings|publicly available software and pre-trained models,
1772,Summarization,abstractive summarisation,nlp engineering experiment|model analysis & interpretability|approaches for low-resource settings,
1778,Multilingualism and Cross-Lingual NLP,multilingual pre-training,nlp engineering experiment,
1780,Information Extraction,event extraction,nlp engineering experiment,
1785,Machine Translation,online adaptation for mt,nlp engineering experiment|model analysis & interpretability|data analysis,
1786,Interpretability and Analysis of Models for NLP,adversarial attacks/examples/training|robustness,nlp engineering experiment|data analysis,
1793,Computational Social Science and Cultural Analytics,emotion detection and analysis,nlp engineering experiment,
1796,Interpretability and Analysis of Models for NLP,explanation faithfulness|feature attribution|free-text/natural language explanations,model analysis & interpretability,
1797,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",applications,nlp engineering experiment,
1798,NLP Applications,security/privacy,nlp engineering experiment|model analysis & interpretability,
1801,Large Language Models,prompting,nlp engineering experiment|model analysis & interpretability|approaches for low-resource settings|publicly available software and pre-trained models|data resources|data analysis,
1806,Machine Translation,multimodality,nlp engineering experiment|approaches for low-resource settings|data resources,
1808,Resources and Evaluation,benchmarking|nlp datasets|evaluation,model analysis & interpretability|data resources,
1810,Generation,text-to-text generation|model architectures,nlp engineering experiment|model analysis & interpretability|data analysis,
1816,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",applications,nlp engineering experiment,
1817,Machine Learning for NLP,transfer learning / domain adaptation|parameter-efficient finetuning,"nlp engineering experiment|approaches for low-compute settings, efficiency|approaches for low-resource settings",
1820,Summarization,multi-document summarization,"approaches for low-compute settings, efficiency|publicly available software and pre-trained models",
1821,Large Language Models,prompting,nlp engineering experiment,
1823,Machine Learning for NLP,adversarial training,model analysis & interpretability,
1828,Machine Translation,domain adaptation|modelling|pre-training for mt,nlp engineering experiment,
1829,Machine Translation,automatic evaluation,model analysis & interpretability|position papers,
1831,"Semantics: Sentence-level Semantics, Textual Inference, and Other Areas",word/phrase alignment,nlp engineering experiment|model analysis & interpretability,
1833,Machine Learning for NLP,model compression methods,"nlp engineering experiment|model analysis & interpretability|approaches for low-compute settings, efficiency",
1834,Large Language Models,pre-training,nlp engineering experiment,arabic
1836,Question Answering,multimodal qa,nlp engineering experiment,
1843,Machine Learning for NLP,model compression methods,"approaches for low-compute settings, efficiency|approaches for low-resource settings",
1847,Question Answering,conversational qa,nlp engineering experiment,
1849,Theme Track: Reality Check,(non-)reproducibility|evaluation|methodology|science-vs-engineering,nlp engineering experiment|publicly available software and pre-trained models|data resources|reproduction study|theory,
1854,"Syntax: Tagging, Chunking, and Parsing",constituency parsing,nlp engineering experiment,
1855,Multilingualism and Cross-Lingual NLP,cross-lingual transfer,nlp engineering experiment|approaches for low-resource settings,
1856,Machine Learning for NLP,optimization methods,"approaches for low-compute settings, efficiency",
1857,Information Retrieval and Text Mining,re-ranking,nlp engineering experiment,
1858,Dialogue and Interactive Systems,retrieval,"approaches for low-compute settings, efficiency",
1860,Machine Translation,multilingual mt,nlp engineering experiment,
1867,Machine Learning for NLP,graph-based methods,nlp engineering experiment,
1869,Summarization,multilingual summarisation|evaluation|factuality,nlp engineering experiment|data resources|data analysis,
1876,Semantics: Lexical,multi-word expressions|paraphrasing,nlp engineering experiment,
1877,Machine Translation,multimodality,nlp engineering experiment|publicly available software and pre-trained models|data resources,
1879,Resources and Evaluation,corpus creation|evaluation|datasets for low resource languages|metrics,data resources,hindi|gujarati|marathi|tamil|malayalam
1880,Large Language Models,pre-training|security and privacy,model analysis & interpretability,
1883,Machine Learning for NLP,few-shot learning,approaches for low-resource settings,
1885,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",applications,nlp engineering experiment|publicly available software and pre-trained models|data resources|surveys,
1886,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",argument quality assessment,data resources|data analysis,
1888,Information Retrieval and Text Mining,passage retrieval,nlp engineering experiment,
1889,Summarization,abstractive summarisation|multi-document summarization,nlp engineering experiment,
1890,NLP Applications,"educational applications, gec, essay scoring",nlp engineering experiment|data analysis,
1892,Summarization,extractive summarisation,approaches for low-resource settings,
1897,Computational Social Science and Cultural Analytics,nlp tools for social analysis,publicly available software and pre-trained models,
1898,Speech and Multimodality,speech technologies|multimodality,model analysis & interpretability,
1909,Large Language Models,applications,nlp engineering experiment,
1915,Multilingualism and Cross-Lingual NLP,cross-lingual transfer|multilingual benchmarks|multilingual evaluation,model analysis & interpretability|publicly available software and pre-trained models|data resources|data analysis,chinese|japanese
1916,Question Answering,multimodal qa,publicly available software and pre-trained models,
1917,NLP Applications,legal nlp,nlp engineering experiment|data resources|data analysis,
1922,Machine Translation,pre-training for mt,nlp engineering experiment,
1924,Large Language Models,pre-training|prompting,nlp engineering experiment|approaches for low-resource settings|publicly available software and pre-trained models,
1925,Question Answering,commonsense qa|knowledge base qa|open-domain qa,"nlp engineering experiment|approaches for low-compute settings, efficiency",
1934,Machine Translation,domain adaptation,nlp engineering experiment|model analysis & interpretability,
1936,Multilingualism and Cross-Lingual NLP,cross-lingual transfer,nlp engineering experiment,
1937,Machine Learning for NLP,transfer learning / domain adaptation|model compression methods,"nlp engineering experiment|model analysis & interpretability|approaches for low-compute settings, efficiency|approaches for low-resource settings|publicly available software and pre-trained models|data analysis",
1939,Machine Learning for NLP,generalization,approaches for low-resource settings|data resources,
1940,"Semantics: Sentence-level Semantics, Textual Inference, and Other Areas",reasoning,nlp engineering experiment|data resources,
1952,Question Answering,reading comprehension,theory,chinese
1956,Resources and Evaluation,nlp datasets,data resources,
1958,Generation,data-to-text generation,nlp engineering experiment,
1959,Large Language Models,prompting|interpretability/analysis|applications,nlp engineering experiment|model analysis & interpretability,
1967,Information Extraction,entity linking/disambiguation,data resources,
1969,Generation,data-to-text generation,data resources,chinese
1970,Question Answering,reading comprehension|multihop qa|table qa,nlp engineering experiment,
1976,Question Answering,reading comprehension,nlp engineering experiment,
1977,"Language Grounding to Vision, Robotics, and Beyond",cross-modal application,nlp engineering experiment,
1980,Large Language Models,prompting|applications,"nlp engineering experiment|approaches for low-compute settings, efficiency|approaches for low-resource settings",
1985,Question Answering,reading comprehension|question generation,nlp engineering experiment,
1996,Interpretability and Analysis of Models for NLP,counterfactual/contrastive explanations,model analysis & interpretability,
2005,Question Answering,table qa,nlp engineering experiment,
2006,Large Language Models,pre-training,nlp engineering experiment,
2011,Resources and Evaluation,language resources|lexicon creation|datasets for low resource languages,nlp engineering experiment|approaches for low-resource settings|data resources|data analysis|reproduction study,
2012,Large Language Models,prompting,nlp engineering experiment,
2014,"Language Grounding to Vision, Robotics, and Beyond",cross-modal application,nlp engineering experiment|data analysis,
2017,Interpretability and Analysis of Models for NLP,robustness,model analysis & interpretability,
2018,"Linguistic Theories, Cognitive Modeling, and Psycholinguistics",computational psycholinguistics,reproduction study|theory,
2019,Machine Learning for NLP,reinforcement learning,"nlp engineering experiment|approaches for low-compute settings, efficiency|approaches for low-resource settings",
2021,"Linguistic Theories, Cognitive Modeling, and Psycholinguistics",linguistic theories,model analysis & interpretability,
2022,"Syntax: Tagging, Chunking, and Parsing",semantic parsing,nlp engineering experiment,
2023,Semantics: Lexical,compositionality,approaches for low-resource settings,
2024,Ethics and NLP,model bias/fairness evaluation,nlp engineering experiment,
2027,Large Language Models,prompting,approaches for low-resource settings,
2032,NLP Applications,knowledge graphs,nlp engineering experiment|approaches for low-resource settings,
2033,Theme Track: Reality Check,methodology,position papers|surveys,
2036,NLP Applications,"educational applications, gec, essay scoring",nlp engineering experiment,
2037,NLP Applications,"fact checking, rumour/misinformation detection",nlp engineering experiment|model analysis & interpretability,
2039,Ethics and NLP,model bias/fairness evaluation,nlp engineering experiment|model analysis & interpretability|data resources,spanish|german|japanese
2042,Information Extraction,named entity recognition and relation extraction,approaches for low-resource settings,
2046,Question Answering,reasoning|math qa,nlp engineering experiment|approaches for low-resource settings,
2048,Machine Learning for NLP,multi-task learning,nlp engineering experiment,
2052,Generation,text-to-text generation|retrieval-augmented generation,approaches for low-resource settings|data resources,chinese
2055,Generation,automatic evaluation,model analysis & interpretability|data analysis,
2056,Dialogue and Interactive Systems,multi-modal dialogue systems,nlp engineering experiment,
2057,Dialogue and Interactive Systems,applications|grounded dialog|conversational modeling,nlp engineering experiment,
2058,Interpretability and Analysis of Models for NLP,hardness of samples,"nlp engineering experiment|model analysis & interpretability|approaches for low-compute settings, efficiency|approaches for low-resource settings",
2059,Machine Translation,speech translation,nlp engineering experiment|approaches for low-resource settings,
2061,NLP Applications,financial/business nlp,nlp engineering experiment|approaches for low-resource settings|data analysis,
2067,Information Extraction,named entity recognition and relation extraction,nlp engineering experiment,
